sequence,cam0_core_mean,cam0_core_max,cam0_outer_mean,cam0_delta,cam0_ratio,cam0_detected,cam1_core_mean,cam1_core_max,cam1_outer_mean,cam1_delta,cam1_ratio,cam1_detected,timestamp_delta_ns,both_led_detected
65,10.152,18,5.9593113763316135,4.192688623668386,1.7035525346637095,True,16.2512,28,5.124355178413357,11.126844821586644,3.171364871127419,True,12000,True
66,10.1584,17,5.940203290497848,4.218196709502152,1.710109823387648,True,16.2272,25,5.173895790726779,11.053304209273222,3.136360038229637,True,13000,True
67,10.1168,17,5.968499130063185,4.148300869936815,1.695032499718719,True,16.176,28,5.179451176704008,10.99654882329599,3.1231108177553564,True,13000,True
68,9.5344,15,5.927627361802143,3.6067726381978567,1.6084681809521355,True,16.2976,26,5.232166295290131,11.065433704709868,3.114885705118108,True,13000,True
69,10.1104,17,5.983913799945056,4.126486200054944,1.689596531302445,True,16.2416,26,5.1732547846524835,11.068345215347515,3.139532204789917,True,13000,True
70,9.8912,16,5.915020909007661,3.9761790909923382,1.6722172503122066,True,16.3424,25,5.076493391532615,11.265906608467386,3.21923003529532,True,13000,True
71,9.824,16,5.897439028112695,3.926560971887305,1.6658078113516144,True,16.0608,24,5.104178749122432,10.956621250877568,3.1465982657369427,True,13000,True
72,10.1344,16,5.939073898843136,4.195326101156863,1.7063939887958062,True,16.3392,25,5.194957418882208,11.144242581117794,3.1452038356679517,True,13000,True
73,10.3024,17,6.00296083758127,4.2994391624187305,1.716219758673467,True,16.448,26,5.24358230823235,11.20441769176765,3.136786844020141,True,12000,True
74,9.8896,16,5.8982326546808705,3.991367345319129,1.6767056470977892,True,16.04,25,5.141723390616892,10.898276609383107,3.119576605243161,True,13000,True
75,9.8784,16,5.972467262904063,3.9059327370959362,1.6539898111047509,True,16.4416,24,5.207502823479137,11.234097176520864,3.157290654912282,True,14000,True
